transport,consumers,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
pipe,1,1048576,375310,343250,662041,672328,1770756,1770756
unix,1,1048576,156613,151878,194841,270628,648559,648559
zcring,1,1048576,189051,188366,198579,299728,304926,304926
pipe,1,1048576,370771,342822,542280,914285,1408309,1408309
unix,1,1048576,160317,155195,198593,758151,763924,763924
zcring,2,64,144,118,380,553,14587,107195
pipe,2,64,4174,2821,3159,715236,1313799,1321514
unix,2,64,4205,3975,4575,42741,925125,1314830
zcring,2,64,141,119,398,549,29109,57246
pipe,2,64,3858,2819,3148,518304,1216271,1316298
unix,2,64,6823,4002,4632,955740,1352799,1357154
zcring,2,64,619,119,396,2318,1162737,1372521
pipe,2,64,4457,2838,3163,731254,1322128,1329663
unix,2,64,5294,3985,4613,690256,1284403,1292586
zcring,2,64,356,123,409,1122,808107,1307881
pipe,2,64,3610,2826,3150,404093,1219205,1324589
unix,2,64,5487,3981,4596,743107,1337650,1345104
zcring,2,64,159,121,397,1122,67961,148677
pipe,2,64,5081,2835,3188,896463,1323812,1333479
unix,2,64,4899,3972,4583,537686,1189334,1290818
zcring,2,256,158,137,408,1996,2791,30937
pipe,2,256,3598,2844,3172,438872,1245681,1362478
unix,2,256,5810,4049,4696,812763,1355009,1362251
zcring,2,256,787,140,440,96450,1196107,1309311
pipe,2,256,5550,2848,3190,979897,1378865,1382718
unix,2,256,6920,4082,4757,945665,1329800,1336420
zcring,2,256,565,141,427,2314,1080756,1286093
pipe,2,256,3709,2840,3163,499881,1224896,1324992
unix,2,256,5647,4053,6192,760705,1283130,1287350
zcring,2,256,162,145,419,1085,4387,20663
pipe,2,256,3942,2845,3158,583286,1189616,1289275
unix,2,256,5788,4063,4694,846029,1342693,1349810
zcring,2,256,157,141,408,1075,2376,18241
pipe,2,256,3974,2830,3158,561391,1263022,1362693
unix,2,256,3916,4044,4692,10051,482660,931597
zcring,2,1024,252,237,486,723,6420,28000
pipe,2,1024,2956,2949,3265,6104,727089,1005259
unix,2,1024,6251,4310,5065,857882,1353704,1357984
zcring,2,1024,258,240,489,1147,27092,51786
pipe,2,1024,4565,2965,3305,745098,1342596,1347926
unix,2,1024,6575,4301,5099,938392,1336060,1341866
zcring,2,1024,263,244,488,1165,12283,89277
pipe,2,1024,4208,2971,3302,633126,1192513,1292130
unix,2,1024,6854,4327,5009,942132,1335777,1340509
zcring,2,1024,262,244,490,764,2670,83482
pipe,2,1024,5246,2962,3307,946019,1346096,1352324
unix,2,1024,5551,4296,5089,707311,1205796,1304725
zcring,2,1024,474,247,520,1214,805284,1305051
pipe,2,1024,3646,2965,3285,344780,1239925,1343675
unix,2,1024,5848,4316,5039,727696,1318566,1323051
zcring,2,4096,716,650,1117,1430,3540,7520
pipe,2,4096,4703,3457,3781,679322,1281922,1381290
unix,2,4096,8615,5327,6807,1094740,1394556,1436784
zcring,2,4096,728,663,1124,1790,6801,7954
pipe,2,4096,6170,3457,3831,918394,1310085,1316459
unix,2,4096,7046,5344,6579,809594,1302650,1309101
zcring,2,4096,723,660,1135,1621,7231,8396
pipe,2,4096,6052,3453,3799,931142,1327835,1333345
unix,2,4096,6360,5332,6458,477604,1267770,1397409
zcring,2,4096,719,663,1100,1413,2380,4037
pipe,2,4096,5487,3445,3808,840148,1332957,1338529
unix,2,4096,7201,5332,6519,799592,1376387,1384049
zcring,2,4096,732,669,1127,1576,6266,11720
pipe,2,4096,4703,3464,3789,648321,1249260,1348698
unix,2,4096,5957,5349,6592,150628,1112491,1394452
zcring,2,16384,3677,3623,4087,5140,10133,36672
pipe,2,16384,7965,7237,8474,402307,1226512,1323971
unix,2,16384,9448,8236,10334,835194,1321496,1332528
zcring,2,16384,3726,3669,4131,7987,10963,56244
pipe,2,16384,8085,7277,8550,396034,1312027,1408663
unix,2,16384,8867,8210,10256,702220,1312009,1398920
zcring,2,16384,3746,3688,4148,8457,10743,49882
pipe,2,16384,7602,7252,8454,164082,1163810,1277282
unix,2,16384,9926,8235,10356,935953,1327924,1332371
zcring,2,16384,3757,3701,4181,5453,9378,74354
pipe,2,16384,7919,7235,8514,321751,1215064,1312232
unix,2,16384,7872,8206,10269,65931,1017797,1259053
zcring,2,16384,3781,3727,4196,6882,10378,44330
pipe,2,16384,7490,7257,8432,160582,1138402,1254781
unix,2,16384,10209,8230,10454,962363,1350676,1354402
zcring,2,65536,13174,13100,14467,15704,43340,560857
pipe,2,65536,24255,23098,157379,221400,1297022,1401587
unix,2,65536,17768,19162,30875,190086,1308551,1994159
zcring,2,65536,13352,13209,15104,20944,559605,560379
pipe,2,65536,25204,23262,163635,215940,1274167,1383848
unix,2,65536,18593,19220,48263,759392,1382489,2056771
zcring,2,65536,13387,13316,15204,19048,24851,133046
pipe,2,65536,25058,23180,162815,268510,1286177,1410084
unix,2,65536,18516,19172,46810,916204,1321548,1416201
zcring,2,65536,13830,13363,15091,20020,1098579,1421135
pipe,2,65536,24284,23078,156737,220864,1112321,1365186
unix,2,65536,18430,19157,47622,723606,1303970,1409435
zcring,2,65536,13527,13431,15522,17675,26002,560055
pipe,2,65536,25092,23181,160700,221990,1306306,1412968
unix,2,65536,18264,19222,44466,561255,1264644,1381909
zcring,2,262144,47102,47049,48771,52285,52498,52498
pipe,2,262144,117273,127786,321649,1248220,1532052,1532052
unix,2,262144,46816,54695,88403,265066,1383314,1383314
zcring,2,262144,47390,47311,49646,53060,93730,93730
pipe,2,262144,115570,126957,330387,407150,1377729,1377729
unix,2,262144,47811,54985,90529,605391,968062,968062
zcring,2,262144,47669,47506,52690,55444,97090,97090
pipe,2,262144,116404,126595,329478,1246575,1363960,1363960
unix,2,262144,48313,55260,91073,610051,1069741,1069741
zcring,2,262144,47693,47666,49092,52098,52518,52518
pipe,2,262144,116349,124139,326831,1397266,1604828,1604828
unix,2,262144,46827,54806,90228,258265,1459237,1459237
zcring,2,262144,47885,47823,49951,53736,54677,54677
pipe,2,262144,120603,128633,328491,1118809,1901453,1901453
unix,2,262144,48234,54546,91763,1174138,1414570,1414570
zcring,2,1048576,193075,191537,212115,223551,227707,227707
pipe,2,1048576,551962,600155,995411,1178983,2354926,2354926
unix,2,1048576,240407,267537,340161,1475936,1482648,1482648
zcring,2,1048576,189192,188750,200171,222040,222043,222043
pipe,2,1048576,555648,601192,996286,1947346,2564672,2564672
unix,2,1048576,235819,260859,319930,410615,420760,420760
zcring,2,1048576,189046,188461,197643,220846,220847,220847
pipe,2,1048576,555079,601659,906196,1954323,2198053,2198053
unix,2,1048576,237431,263179,339195,387531,1204912,1204912
zcring,2,1048576,191297,190732,200380,228385,228386,228386
pipe,2,1048576,564642,612916,988277,2181583,2471104,2471104
unix,2,1048576,238092,260278,323102,433777,526512,526512
zcring,2,1048576,194043,193045,211928,245198,245200,245200
pipe,2,1048576,559939,618138,1001476,1524175,2949043,2949043
unix,2,1048576,241794,261927,328243,957382,1324617,1324617
zcring,4,64,1445,945,4309,4841,46649,57852
pipe,4,64,4846,4919,6854,40883,1138268,1342626
unix,4,64,6490,5954,8801,311985,1213113,1316443
zcring,4,64,1420,925,4274,4806,21790,54917
pipe,4,64,6687,4978,6866,850176,1340217,1348921
unix,4,64,7391,5938,8751,750189,1335036,1354022
zcring,4,64,1426,940,4302,4890,27088,61363
pipe,4,64,5298,4986,6893,319758,1219150,1322006
unix,4,64,6038,5913,8772,29802,1133114,1342240
zcring,4,64,1453,962,4534,5244,9930,62949
pipe,4,64,7103,4954,6867,939166,1336172,1342725
unix,4,64,8362,5963,8840,927099,1321953,1329168
zcring,4,64,1475,977,4550,5459,30290,57701
pipe,4,64,7068,4973,6880,926469,1324322,1329961
unix,4,64,8168,5974,8803,920816,1316084,1319897
zcring,4,256,1426,918,4262,4616,6325,72635
pipe,4,256,4431,4973,6834,9182,45948,106022
unix,4,256,5695,6047,8828,11340,46595,107115
zcring,4,256,1456,929,4318,4696,6566,62980
pipe,4,256,4466,4938,6969,12889,104019,557339
unix,4,256,6180,6039,8861,24789,1159076,1370030
zcring,4,256,1439,936,4292,4794,6458,69037
pipe,4,256,6542,4999,6998,810704,1298670,1309442
unix,4,256,7019,6045,8895,537150,1320083,1337623
zcring,4,256,1463,954,4333,4971,9686,68429
pipe,4,256,5266,4941,8566,293300,1191325,1295799
unix,4,256,5701,6053,8869,11153,51920,105233
zcring,4,256,1459,954,4336,4964,8842,68770
pipe,4,256,5718,4965,6886,579312,1371260,1380057
unix,4,256,6159,6043,8900,12521,1143778,1353936
zcring,4,1024,1550,1061,4457,6047,6799,104925
pipe,4,1024,4498,5053,7102,9494,53032,106575
unix,4,1024,6011,6422,9303,11644,56376,74496
zcring,4,1024,1539,1061,4406,4981,8227,116752
pipe,4,1024,4498,5035,7146,10300,69415,109784
unix,4,1024,7724,6465,10808,705712,1289862,1302339
zcring,4,1024,1563,1084,4482,5060,9209,103502
pipe,4,1024,5050,5092,7148,28122,820840,1383739
unix,4,1024,6306,6430,9399,14534,557526,559364
zcring,4,1024,1579,1091,4578,5510,10084,101521
pipe,4,1024,5588,5148,7157,455441,1277397,1377479
unix,4,1024,6430,6428,9354,26567,1095562,1307755
zcring,4,1024,1581,1092,4628,5567,11427,100445
pipe,4,1024,5818,5111,7176,507350,1296526,1310863
unix,4,1024,6423,6413,9273,25149,1107418,1319310
zcring,4,4096,2068,1523,4832,5825,62099,243270
pipe,4,4096,5083,5530,7887,10435,94974,108907
unix,4,4096,7591,7714,11402,99381,145534,183470
zcring,4,4096,2041,1505,4735,5869,54193,250060
pipe,4,4096,5052,5502,7899,10005,70114,110933
unix,4,4096,7613,7699,11355,119795,141292,150497
zcring,4,4096,2044,1513,4745,5857,47852,258096
pipe,4,4096,5019,5491,7815,9785,69808,108148
unix,4,4096,8543,7713,11511,345708,1248770,1352568
zcring,4,4096,2029,1511,4827,5926,42273,254139
pipe,4,4096,6000,5505,7864,377108,1278579,1381768
unix,4,4096,8217,7749,11926,142129,1148528,1365107
zcring,4,4096,2078,1534,4886,6333,73577,245706
pipe,4,4096,7921,5549,7955,978840,1372804,1390557
unix,4,4096,7684,7738,11369,132205,149168,181619
zcring,4,16384,5178,4708,8572,11243,96294,746797
pipe,4,16384,12042,9536,56881,1004924,1385420,1392888
unix,4,16384,11757,10644,16610,585328,1339513,1374204
zcring,4,16384,5204,4709,8591,10875,86124,750935
pipe,4,16384,10080,9482,19160,184666,225838,560548
unix,4,16384,11386,10644,16469,557211,1282401,1412760
zcring,4,16384,5162,4695,8569,10687,41503,752430
pipe,4,16384,9952,9442,19246,169931,212813,224854
unix,4,16384,11334,10698,16682,341422,1254201,1352816
zcring,4,16384,5173,4686,8564,10831,82238,756102
pipe,4,16384,11048,9542,20610,475552,1391846,1431380
unix,4,16384,12491,10733,17632,812684,1370297,1401999
zcring,4,16384,5207,4746,8648,11692,50815,744696
pipe,4,16384,10606,9473,22674,199919,1308915,1406100
unix,4,16384,11887,10679,16693,610508,1363292,1396911
zcring,4,65536,15113,14740,18849,27779,560621,2255522
pipe,4,65536,34426,30298,204818,285893,940904,1049144
unix,4,65536,26440,25735,81792,1026498,1391292,1428710
zcring,4,65536,15100,14711,18838,20962,29557,2422597
pipe,4,65536,34926,30515,203030,248060,1269378,1380745
unix,4,65536,25374,25764,72910,205910,1292550,1435746
zcring,4,65536,15176,14724,18851,25249,563789,2241316
pipe,4,65536,34103,30405,198860,247139,672996,1089225
unix,4,65536,25008,25668,71682,200245,1095486,1355709
zcring,4,65536,15147,14771,18897,26276,559386,2315556
pipe,4,65536,34633,30376,203621,325614,1316461,1430083
unix,4,65536,24913,25672,67605,200769,1128569,1388746
zcring,4,65536,15129,14756,18726,26421,562832,2270479
pipe,4,65536,36934,30590,210758,369615,1357509,1473871
unix,4,65536,24828,25779,68049,191751,243467,584883
zcring,4,262144,52370,50754,55792,599464,2338027,2338027
pipe,4,262144,189583,195284,451445,1024548,1918234,1918234
unix,4,262144,75660,82302,144662,281562,696513,696513
zcring,4,262144,50993,50564,55583,61139,2276567,2276567
pipe,4,262144,191543,192290,511665,1317609,1513957,1513957
unix,4,262144,75377,82698,148754,254245,334934,334934
zcring,4,262144,50894,50628,55184,64597,2440700,2440700
pipe,4,262144,184971,191993,447756,739951,1644700,1644700
unix,4,262144,77214,81537,146522,1296966,1323673,1323673
zcring,4,262144,50978,50732,55734,63498,2302299,2302299
pipe,4,262144,195842,191664,550239,1479784,3026070,3026070
unix,4,262144,74824,81766,144757,281490,333085,333085
zcring,4,262144,52410,50802,55870,600388,2392125,2392125
pipe,4,262144,195663,196265,454835,741595,814664,814664
unix,4,262144,77012,81483,149798,1186510,1452140,1452140
zcring,4,1048576,203549,199845,313151,773886,2450430,2450430
pipe,4,1048576,907578,962880,1570080,2598692,2872200,2872200
unix,4,1048576,377193,416230,584031,960060,2026439,2026439
zcring,4,1048576,202480,201717,230300,249989,2542186,2542186
pipe,4,1048576,909051,953197,1737806,2100458,3318655,3318655
unix,4,1048576,372582,411501,594904,735116,1940575,1940575
zcring,4,1048576,199487,200307,222655,244810,2457299,2457299
pipe,4,1048576,913930,961987,1734368,2442179,2821357,2821357
unix,4,1048576,381507,421637,639751,1066155,1252705,1252705
zcring,4,1048576,204296,199590,733775,775105,2590304,2590304
pipe,4,1048576,900261,930056,1622776,2100743,3670449,3670449
unix,4,1048576,373816,409740,605153,1151644,1520521,1520521
zcring,4,1048576,203495,204393,226325,450545,2507371,2507371
pipe,4,1048576,894312,957612,1547914,1790379,2455308,2455308
unix,4,1048576,375588,417754,611703,621552,709601,709601
