transport,consumers,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
zcring,1,64,137,117,401,432,583,28023
pipe,1,64,3353,2191,2716,496743,1127298,1251816
unix,1,64,4023,3211,4030,180842,1376594,1871225
zcring,1,64,140,118,411,1140,2401,5185
pipe,1,64,2720,2185,2770,85058,1021260,1226601
unix,1,64,6002,3205,5503,937331,2040830,2510282
zcring,1,64,143,120,420,1447,2502,25276
pipe,1,64,3874,2199,3206,566862,1863052,2330130
unix,1,64,5187,3173,4724,828081,2157770,2652246
zcring,1,4096,790,755,1206,1346,1638,76629
pipe,1,4096,5222,2724,3650,1015183,2437580,2932216
unix,1,4096,7393,4215,6573,1032956,2681622,2974899
zcring,1,4096,809,774,1219,2781,53174,152729
pipe,1,4096,4221,2741,3373,402692,2511999,3005109
unix,1,4096,5622,4194,5730,451490,1636140,2128483
zcring,1,4096,812,770,1243,2829,28236,78365
pipe,1,4096,3942,2736,4888,460556,1131934,1264315
unix,1,4096,6380,4239,7720,723025,1363002,1854499
zcring,1,1048576,189653,188110,223402,268408,317546,317546
pipe,1,1048576,375108,345010,674032,684075,684335,684335
unix,1,1048576,162120,156596,206099,277285,1250101,1250101
zcring,1,1048576,186588,185743,215864,267056,268720,268720
pipe,1,1048576,381682,347366,652538,1747793,1900518,1900518
unix,1,1048576,160556,152172,205104,1785741,2166161,2166161
zcring,1,1048576,186783,186509,197916,227913,244035,244035
pipe,1,1048576,378194,346010,637058,755467,1566400,1566400
unix,1,1048576,159818,151494,220765,1172350,1612029,1612029
zcring,2,64,146,113,501,1161,29354,153669
pipe,2,64,4609,3115,3567,663277,2136958,2635456
unix,2,64,5581,4324,5098,637564,1286701,1782169
zcring,2,64,139,115,516,583,3623,23992
pipe,2,64,6874,3137,3947,1257164,2427168,2924572
unix,2,64,5526,4286,5040,631829,1994976,2491028
zcring,2,64,143,116,531,589,2337,41001
pipe,2,64,3624,3110,3520,188114,1063383,1284713
unix,2,64,5315,4307,5051,544407,1276901,1768080
zcring,2,4096,804,798,1259,1508,7930,36706
pipe,2,4096,4943,3764,4194,640118,1673271,2167279
unix,2,4096,6720,5597,7396,593363,1204484,1598048
zcring,2,4096,989,777,1282,5974,752339,1251352
pipe,2,4096,4308,3756,4168,170629,1382845,1874401
unix,2,4096,6943,5608,7433,608497,1740721,2231823
zcring,2,4096,1020,823,1292,2334,819013,1318032
pipe,2,4096,4407,3751,4196,361035,1105758,1261271
unix,2,4096,7398,5594,7830,738604,2306773,2798811
zcring,2,1048576,185770,184494,224256,305042,305043,305043
pipe,2,1048576,550500,611250,905355,2817152,3554436,3554436
unix,2,1048576,233035,258969,315030,1956642,2068651,2068651
zcring,2,1048576,188373,187366,227549,239451,271469,271469
pipe,2,1048576,565362,615832,978824,2380511,2728719,2728719
unix,2,1048576,230103,256523,319720,347965,349049,349049
zcring,2,1048576,192229,189771,233469,301970,301972,301972
pipe,2,1048576,569207,614954,973386,3553855,6812017,6812017
unix,2,1048576,234754,260104,321166,1078582,1200705,1200705
zcring,4,64,2441,1017,4596,75668,1848003,2054138
pipe,4,64,5842,5563,7569,107471,799769,906390
unix,4,64,7571,6562,10016,414039,1875700,2093005
zcring,4,64,13095,1066,5044,2487959,2879163,2986314
pipe,4,64,5855,5597,7769,127386,827684,932170
unix,4,64,6580,6547,9804,95052,767091,976807
zcring,4,64,1556,1039,4796,6235,23352,92103
pipe,4,64,5575,5561,7581,32632,521763,726931
unix,4,64,6207,6515,9746,20894,119297,152055
zcring,4,4096,2151,1648,5154,6631,46343,269871
pipe,4,4096,6072,6389,10157,48643,514132,722892
unix,4,4096,9794,8208,13557,523708,2455754,2693461
zcring,4,4096,2175,1651,5333,7143,92654,257151
pipe,4,4096,6436,6300,8991,312998,864998,1076335
unix,4,4096,9024,8239,13860,379136,1050982,1171578
zcring,4,4096,2170,1651,5302,7476,63106,269563
pipe,4,4096,6925,6325,9051,386146,1936632,2153360
unix,4,4096,8417,8173,12710,131039,920526,1138595
zcring,4,1048576,196299,198754,230593,257676,2636485,2636485
pipe,4,1048576,930244,944259,1678186,1932957,2619660,2619660
unix,4,1048576,384221,414559,629481,2364836,2572329,2572329
zcring,4,1048576,197595,198556,227879,257164,2660635,2660635
pipe,4,1048576,942538,999444,1635716,1871100,4174303,4174303
unix,4,1048576,377514,418929,603287,702298,748566,748566
zcring,4,1048576,202785,203576,236795,338274,2640869,2640869
pipe,4,1048576,936365,951869,1659742,1888687,3779877,3779877
unix,4,1048576,371381,407587,596423,1185298,2488542,2488542
