transport,consumers,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
pipe,1,1048576,383949,348155,577468,1621215,1929537,1929537
unix,1,1048576,161744,154130,214862,1180745,1608543,1608543
zcring,1,1048576,190495,189969,208513,222697,242105,242105
pipe,1,1048576,387078,351564,575410,739688,2432660,2432660
unix,1,1048576,165106,154240,221037,1391365,2366442,2366442
zcring,2,64,136,113,503,575,2355,40902
pipe,2,64,3528,3115,3529,161009,1025523,1275699
unix,2,64,4798,4282,4930,230363,1206704,1602234
zcring,2,64,144,114,523,1835,11973,113527
pipe,2,64,12002,3141,411666,1053079,2117545,2615499
unix,2,64,6480,4313,5168,937493,1537040,1721542
zcring,2,64,141,115,526,596,2421,5177
pipe,2,64,4664,3116,3748,694936,1431909,1691882
unix,2,64,6030,4303,5030,834181,1526418,1714874
zcring,2,64,141,116,524,591,2355,67071
pipe,2,64,7558,3123,3639,1475884,2748279,2949430
unix,2,64,5245,4398,6247,458122,1284013,1684089
zcring,2,64,145,117,526,1093,3775,95296
pipe,2,64,3958,3093,3516,428673,1229148,1627706
unix,2,64,5057,4325,5119,429038,1024161,1249656
zcring,2,256,1384,131,524,483707,1710918,1918744
pipe,2,256,5722,3147,3647,1065594,2608313,3006752
unix,2,256,5752,4371,5169,676077,1667049,1963130
zcring,2,256,153,133,517,593,3693,64708
pipe,2,256,4456,3121,3547,611527,1389284,1887587
unix,2,256,4745,4393,5104,106206,1234185,1585687
zcring,2,256,331,134,538,1166,741838,1241630
pipe,2,256,4813,3138,3661,746575,1283001,1499880
unix,2,256,5889,4377,5184,827263,1545591,1719905
zcring,2,256,165,135,529,1394,37637,122156
pipe,2,256,3885,3122,3536,391886,1221608,1620309
unix,2,256,5714,4377,5223,659156,1500952,1698276
zcring,2,256,158,135,536,1093,5247,85047
pipe,2,256,3946,3127,3556,320848,1437988,1682254
unix,2,256,5725,4408,5121,721184,1464593,1708248
zcring,2,1024,262,234,624,725,22625,107201
pipe,2,1024,5662,3260,3764,906799,2550796,2958946
unix,2,1024,5055,4568,5293,194220,1401062,1689394
zcring,2,1024,271,238,677,2401,3759,6976
pipe,2,1024,3465,3264,3679,41539,1058250,1262807
unix,2,1024,5620,4603,5455,589777,1282330,1678038
zcring,2,1024,267,242,640,1128,23576,50480
pipe,2,1024,4991,3250,3852,736617,1435135,1733381
unix,2,1024,4931,4596,5363,186645,1066528,1264317
zcring,2,1024,263,243,644,1076,2422,8847
pipe,2,1024,4439,3251,3681,567328,1264034,1674511
unix,2,1024,6839,4595,5614,998538,1566143,1742019
zcring,2,1024,269,247,647,732,2392,70117
pipe,2,1024,5763,3247,3702,1004607,2419472,2916989
unix,2,1024,5821,4726,6683,587893,1451757,1649499
zcring,2,4096,750,683,1195,1437,6820,50667
pipe,2,4096,4289,3786,5758,149153,1033242,1281224
unix,2,4096,5963,5568,6803,151267,1015712,1338054
zcring,2,4096,808,782,1272,1594,6737,25822
pipe,2,4096,12626,3764,5941,2849037,2999592,4333196
unix,2,4096,7365,5599,8463,739345,1455426,1661392
zcring,2,4096,782,713,1230,1588,32018,103182
pipe,2,4096,7112,3782,4917,1236033,2057795,2372621
unix,2,4096,6617,5598,6998,495611,1482474,1722449
zcring,2,4096,804,766,1274,1529,6708,41864
pipe,2,4096,5009,3750,4198,647664,1244506,1735863
unix,2,4096,6767,5590,7064,591897,1282770,1676358
zcring,2,4096,810,766,1254,1538,18329,83686
pipe,2,4096,5887,3758,4253,895604,1720375,1917918
unix,2,4096,11294,5617,12144,1804040,2888479,2986562
zcring,2,16384,3716,3655,4205,5500,41429,117522
pipe,2,16384,7680,7483,9075,168224,1116076,1310074
unix,2,16384,11005,8541,11477,957798,2527634,2917735
zcring,2,16384,3736,3676,4221,7403,17607,111207
pipe,2,16384,7640,7471,8927,171121,967722,1255719
unix,2,16384,16524,8440,13810,2957131,2985129,5917433
zcring,2,16384,3769,3711,4274,8550,10121,25760
pipe,2,16384,8236,7499,11566,474665,1458776,1660428
unix,2,16384,8846,8437,10791,505856,1236335,1384453
zcring,2,16384,3785,3731,4296,7715,10463,50589
pipe,2,16384,8598,7565,13264,294301,1617514,1925802
unix,2,16384,8538,8461,10860,289680,1304579,1731664
zcring,2,16384,3805,3749,4326,7912,10419,53281
pipe,2,16384,8224,7479,9185,187882,2258793,2644813
unix,2,16384,9586,8447,11570,799319,1576045,1718465
zcring,2,65536,13160,13098,14700,16234,48486,93945
