transport,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
zcring,64,119,112,137,210,1282,71712
pipe,64,5211,2221,3075,1167257,2458094,2656926
unix,64,5305,3231,4389,748431,1396419,1593987
zcring,64,114,112,144,267,6123,9704
pipe,64,3258,2220,3473,403161,877109,1060139
unix,64,4829,3230,4335,625388,1021590,1067464
zcring,64,115,112,142,186,356,46395
pipe,64,3680,2202,3060,563642,1598359,1797351
unix,64,3779,3204,4254,124844,799956,986912
zcring,4096,801,822,1160,1274,1377,1473
pipe,4096,4491,2740,3722,743503,1949861,2147858
unix,4096,5443,4257,5598,180776,1660274,1856513
zcring,4096,786,770,1155,1268,22388,36402
pipe,4096,6066,2745,3919,929076,1662818,1857774
unix,4096,8862,4254,16030,1214897,1716333,1836877
zcring,4096,788,770,1146,1265,39732,55136
pipe,4096,6092,2742,3807,1038435,1730700,1836932
unix,4096,8001,4262,8545,1272173,1883098,2078867
zcring,1048576,183701,183209,193705,221486,221486,221486
pipe,1048576,374364,346228,553056,638295,638295,638295
unix,1048576,156252,151232,210714,264770,264770,264770
zcring,1048576,183826,183433,189674,262789,262789,262789
pipe,1048576,388678,348376,608652,1706902,1706902,1706902
unix,1048576,160605,153274,199018,1534737,1534737,1534737
zcring,1048576,183780,183233,205427,229420,229420,229420
pipe,1048576,368387,341828,545337,1268431,1268431,1268431
unix,1048576,158830,150477,200132,1908166,1908166,1908166
