t_ms,phase_us,seq,spin_ns,gap_ewma_ns,wake_ewma_ns,burn_ewma_ns,blocked
31.994,200,125,18152,241399,6380,27199,1
32.223,200,126,18719,240715,6477,26918,1
32.501,200,127,19304,241569,6546,26665,1
32.760,200,128,19907,241831,6597,26438,1
33.018,200,129,20530,242070,6623,26237,1
33.278,200,130,21171,242339,6651,26063,1
33.536,200,131,21832,242569,6674,25914,1
33.795,200,132,22515,242801,6707,25790,1
34.053,200,133,23218,243012,6726,25691,1
34.312,200,134,23943,243249,6749,25616,1
34.570,200,135,24692,243450,6766,25567,1
34.828,200,136,25463,243650,6783,25544,1
35.087,200,137,26258,243850,6798,25544,1
35.346,200,138,27079,244061,6821,25570,1
35.604,200,139,27926,244239,6836,25620,1
35.863,200,140,27000,244419,6858,31803,1
36.121,200,141,26102,244584,6887,31660,1
36.381,200,142,25234,244770,6910,31490,1
36.639,200,143,24396,244921,6925,31298,1
36.898,200,144,23586,245082,6942,31087,1
37.152,200,145,22802,245228,6857,30855,1
37.411,200,146,23515,245500,6774,30605,1
37.673,200,147,24250,245845,6696,30386,1
37.927,200,148,25007,245971,6620,30194,1
38.182,200,149,25788,246082,6544,30034,1
38.445,200,150,26593,246321,6625,29938,1
38.705,200,151,27424,246434,6697,29835,1
38.965,200,152,28281,246528,6758,29763,1
39.224,200,153,29164,246629,6821,29718,1
39.475,200,154,30075,246608,6732,29703,1
39.729,200,155,31014,246700,6646,29716,1
39.983,200,156,31983,246791,6563,29757,1
40.218,200,157,32982,246245,6494,29827,1
40.472,200,158,34013,246339,6421,29926,1
40.734,200,159,35076,246560,6496,30056,1
40.993,200,160,36173,246645,6555,30215,1
41.224,200,161,37304,245829,6638,30403,1
41.483,200,162,38469,245939,6699,30622,1
41.744,200,163,37193,246072,6767,30870,1
41.994,200,164,35959,246058,6679,31069,1
42.214,200,165,34765,245079,6603,31223,1
42.468,200,166,33611,245212,6519,31335,1
42.722,200,167,32495,245357,6438,31408,1
42.976,200,168,31415,245485,6360,31443,1
43.214,200,169,30371,245091,6296,31443,1
43.468,200,170,29363,245223,6223,31410,1
43.722,200,171,28387,245366,6152,31348,1
43.977,200,172,27445,245499,6089,31256,1
44.217,200,173,26533,245166,6046,31139,1
44.480,200,174,25651,245402,6157,30999,1
44.740,200,175,24799,245510,6241,30838,1
44.998,200,176,25574,245625,6311,30652,1
45.224,200,177,26373,244693,6395,30496,1
45.475,200,178,27198,244728,6327,30368,1
45.729,200,179,28047,244870,6255,30269,1
45.983,200,180,28924,245017,6187,30201,1
46.225,200,181,29827,244435,6447,30162,1
46.469,200,182,30760,244250,6395,30153,1
46.732,200,183,31721,244504,6501,30173,1
46.991,200,184,32712,244634,6597,30224,1
47.224,200,185,33735,243902,6716,30304,1
47.485,200,186,34790,244051,6832,30413,1
47.745,200,187,33634,244189,6929,30553,1
47.996,200,188,32518,244221,6865,30650,1
48.216,200,189,31440,243308,6804,30710,1
48.472,200,190,30396,243485,6764,30741,1
48.725,200,191,29386,243629,6703,30732,1
48.980,200,192,28410,243803,6643,30691,1
49.215,200,193,27466,243323,6611,30620,1
49.468,200,194,26554,243481,6549,30522,1
49.723,200,195,27383,243657,6506,30399,1
49.977,200,196,28238,243819,6433,30306,1
50.214,200,197,29121,243471,6346,30243,1
50.470,200,198,30032,243681,6299,30211,1
50.724,200,199,30971,243837,6254,30208,1
50.978,200,200,31938,243985,6209,30233,1
51.231,200,201,32937,244022,6236,30288,1
51.492,200,202,33966,244358,6207,30373,1
51.752,200,203,35027,244651,6174,30487,1
52.011,200,204,33865,244327,6136,30630,1
52.271,200,205,32741,244633,6107,30733,1
52.531,200,206,31653,244918,6077,30798,1
52.790,200,207,30601,245170,6045,30826,1
53.048,200,208,29585,245419,6006,30821,1
53.307,200,209,28603,245674,5973,30784,1
53.565,200,210,29496,245899,5933,30718,1
53.824,200,211,30417,246122,5899,30680,1
54.078,200,212,31368,246228,5862,30673,1
